request_id_source,item_id,item_institution_id,item_institution_name,account_id,account_name,account_official_name,account_type,account_subtype,account_mask,account_balance_available,account_balance_current,account_balance_currency,owner_name,owner_address_street,owner_address_city,owner_address_region,owner_address_postal_code,owner_address_country,owner_address_primary,owner_email_data,owner_email_primary,owner_email_type,owner_phone_data,owner_phone_primary,owner_phone_type
kWW4nWv6vR9j3RZ,bJ3bDoGnZeIzwL151ZGNSXPQDdneE5uVz6rxE,ins_122878,Banque Populaire - du Nord,G53rn6gXJbiwDgerezK4toQJBwVwDxt6gPKAg,Plaid Current Account,Plaid Standard Current Account,depository,checking,0000,100.0,110.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
kWW4nWv6vR9j3RZ,bJ3bDoGnZeIzwL151ZGNSXPQDdneE5uVz6rxE,ins_122878,Banque Populaire - du Nord,nzpqR9GdvmHEnMb5bXGaClZ3qoBoJ4CAqW9Kj,Plaid Saving,Plaid Standard Interest Saving,depository,savings,1111,200.0,210.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
kWW4nWv6vR9j3RZ,bJ3bDoGnZeIzwL151ZGNSXPQDdneE5uVz6rxE,ins_122878,Banque Populaire - du Nord,ye3PkRX1w9H5lJp8p79etG6ewxQxr8U4RXPW9,Plaid Business Current Account,Plaid Business Current Account,depository,checking,2222,1100.0,1205.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
kWW4nWv6vR9j3RZ,bJ3bDoGnZeIzwL151ZGNSXPQDdneE5uVz6rxE,ins_122878,Banque Populaire - du Nord,bJ3bDoGnZeIzwL151ZGNSXPQb4D43yumpZnNw,Plaid Credit Card,Plaid Diamond Credit Card,credit,credit card,3333,,410.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
kWW4nWv6vR9j3RZ,bJ3bDoGnZeIzwL151ZGNSXPQDdneE5uVz6rxE,ins_122878,Banque Populaire - du Nord,mkLlMwGxvWT7PebrbZEJCk3XZ151j4sgZdeMv,Plaid Mortgage,,loan,mortgage,8888,,56302.06,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
kWW4nWv6vR9j3RZ,bJ3bDoGnZeIzwL151ZGNSXPQDdneE5uVz6rxE,ins_122878,Banque Populaire - du Nord,9AVbRjaXJWtDdXqzqeNbSx9e8mwmNQi4NQoVr,Plaid Business Credit Card,Plaid Platinum Small Business Credit Card,credit,credit card,9999,4980.0,5020.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
nsgzMYoQXHaMB5S,dVEqRK1V36fWLovg4nrNijdER3ERpxcJmjND3,ins_122879,Banque Populaire - Sud,aVpwRAQVrbfvbA5wxWLPhBKPXVmveVtZ531pg,Plaid Current Account,Plaid Standard Current Account,depository,checking,0000,100.0,110.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
nsgzMYoQXHaMB5S,dVEqRK1V36fWLovg4nrNijdER3ERpxcJmjND3,ins_122879,Banque Populaire - Sud,48LXA418k5FEmp8b1ZPecgpKNqG8ZqIJbMn8X,Plaid Saving,Plaid Standard Interest Saving,depository,savings,1111,200.0,210.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
nsgzMYoQXHaMB5S,dVEqRK1V36fWLovg4nrNijdER3ERpxcJmjND3,ins_122879,Banque Populaire - Sud,jVExRdvVmnfAZybzQeqriVaNxeDzleF6WAZo8,Plaid Business Current Account,Plaid Business Current Account,depository,checking,2222,1100.0,1205.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
nsgzMYoQXHaMB5S,dVEqRK1V36fWLovg4nrNijdER3ERpxcJmjND3,ins_122879,Banque Populaire - Sud,N1KpLdJ1jDF57Wok9xpGcqBnAawL8aFy6KnL9,Plaid Credit Card,Plaid Diamond Credit Card,credit,credit card,3333,,410.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
nsgzMYoQXHaMB5S,dVEqRK1V36fWLovg4nrNijdER3ERpxcJmjND3,ins_122879,Banque Populaire - Sud,PpzgL4JpZDF5jlnx6ag1c96KoagWAato6vQE9,Plaid Mortgage,,loan,mortgage,8888,,56302.06,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
nsgzMYoQXHaMB5S,dVEqRK1V36fWLovg4nrNijdER3ERpxcJmjND3,ins_122879,Banque Populaire - Sud,7AqwgjoA5DtE1X8MKgqzcJq4PAyegACdJpM4L,Plaid Business Credit Card,Plaid Platinum Small Business Credit Card,credit,credit card,9999,4980.0,5020.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
abVHdRnOD4MtTTE,GJM3xRm7k9irkbm4gR14FoQ9XeojRyS1qwPZE,ins_122880,Banque Populaire - Aquitaine Centre Atlantique,QlqVG7k8WxijGZKRzPERT5g19LGPkjswl4Mja,Plaid Current Account,Plaid Standard Current Account,depository,checking,0000,100.0,110.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
abVHdRnOD4MtTTE,GJM3xRm7k9irkbm4gR14FoQ9XeojRyS1qwPZE,ins_122880,Banque Populaire - Aquitaine Centre Atlantique,Za4gypJ9jQtoJW86Lxa6tB63RQMKDgce1ARxz,Plaid Saving,Plaid Standard Interest Saving,depository,savings,1111,200.0,210.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
abVHdRnOD4MtTTE,GJM3xRm7k9irkbm4gR14FoQ9XeojRyS1qwPZE,ins_122880,Banque Populaire - Aquitaine Centre Atlantique,LJkjNQ91bKidR4JzVpNzuGLXkV7NJdikWvQ3B,Plaid Business Current Account,Plaid Business Current Account,depository,checking,2222,1100.0,1205.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
abVHdRnOD4MtTTE,GJM3xRm7k9irkbm4gR14FoQ9XeojRyS1qwPZE,ins_122880,Banque Populaire - Aquitaine Centre Atlantique,MJ8wNRmLZriajoEQ1g4Qt17LwB3qvaSLRwlmN,Plaid Credit Card,Plaid Diamond Credit Card,credit,credit card,3333,,410.0,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
abVHdRnOD4MtTTE,GJM3xRm7k9irkbm4gR14FoQ9XeojRyS1qwPZE,ins_122880,Banque Populaire - Aquitaine Centre Atlantique,1QRyMLavwNHaPmGE1jMEtQN8Xq4pyrcpPLKDD,Plaid Mortgage,,loan,mortgage,8888,,56302.06,EUR,Jermaine Daigneault Gagne,25 RUE DES FLEURS,CAUDOS,MIOS,33380,FR,True,jermaine@example.fr,True,primary,+33334657236,False,mobile
